interaction_id,user_id,mentor_id,interaction_type,session_duration_minutes,rating_given_by_user,helpfulness_score,match_success
1,642,498,video_call,6,5,10,1
2,1673,53,chat,56,1,2,0
3,275,700,chat,20,4,8,1
4,1167,612,chat,16,1,2,0
5,846,138,chat,24,2,4,0
6,1797,93,video_call,17,5,10,1
7,1538,14,chat,10,4,8,1
8,327,628,chat,52,1,2,0
9,802,53,video_call,22,5,10,1
10,892,776,video_call,41,5,10,1
11,1554,627,chat,41,2,4,0
12,124,486,chat,50,2,4,0
13,1168,400,chat,29,1,2,0
14,37,582,chat,26,3,6,0
15,757,389,video_call,46,1,2,0
16,1928,463,video_call,34,5,10,1
17,731,654,chat,19,4,8,1
18,880,137,chat,15,3,6,0
19,826,701,video_call,47,4,8,1
20,1307,127,video_call,43,3,6,0
21,1291,795,chat,30,4,8,1
22,1167,741,video_call,28,5,10,1
23,964,729,chat,23,3,6,0
24,621,764,video_call,26,4,8,1
25,826,630,video_call,29,5,10,1
26,1141,55,chat,39,5,10,1
27,1527,528,video_call,12,1,2,0
28,517,722,video_call,47,4,8,1
29,570,102,video_call,10,5,10,1
30,258,169,video_call,24,4,8,1
31,475,7,chat,11,3,6,0
32,477,446,video_call,38,2,4,0
33,1832,365,video_call,41,5,10,1
34,1451,550,chat,37,4,8,1
35,1807,18,chat,41,1,2,0
36,1382,163,chat,11,2,4,0
37,936,578,video_call,57,1,2,0
38,235,15,chat,31,3,6,0
39,1517,581,video_call,36,5,10,1
40,1407,355,chat,10,2,4,0
41,1089,356,chat,37,3,6,0
42,1950,637,chat,53,4,8,1
43,241,115,chat,15,5,10,1
44,759,499,video_call,55,1,2,0
45,157,167,video_call,35,3,6,0
46,1051,635,video_call,20,2,4,0
47,1099,82,video_call,20,5,10,1
48,1757,300,video_call,31,5,10,1
49,865,392,chat,11,2,4,0
50,1361,465,chat,26,5,10,1
51,711,189,video_call,39,5,10,1
52,1398,76,chat,41,1,2,0
53,1975,270,video_call,52,3,6,0
54,1484,513,chat,27,4,8,1
55,83,602,chat,48,2,4,0
56,908,485,chat,42,5,10,1
57,772,508,video_call,17,5,10,1
58,950,778,chat,55,3,6,0
59,1873,177,video_call,45,4,8,1
60,318,679,video_call,15,1,2,0
61,646,730,chat,52,3,6,0
62,360,728,chat,44,2,4,0
63,1010,617,chat,44,2,4,0
64,780,316,video_call,39,4,8,1
65,261,620,video_call,9,1,2,0
66,688,42,chat,41,3,6,0
67,1008,112,video_call,16,3,6,0
68,331,506,video_call,10,2,4,0
69,1517,660,chat,26,2,4,0
70,368,345,chat,10,5,10,1
71,1089,182,video_call,50,3,6,0
72,671,154,video_call,50,3,6,0
73,1331,496,video_call,8,3,6,0
74,672,527,chat,26,2,4,0
75,1077,663,chat,55,4,8,1
76,316,437,chat,24,3,6,0
77,599,304,video_call,40,1,2,0
78,1037,785,chat,9,1,2,0
79,1886,501,video_call,28,2,4,0
80,1675,504,chat,27,4,8,1
81,200,555,chat,25,3,6,0
82,649,452,video_call,36,1,2,0
83,1872,520,chat,59,3,6,0
84,313,747,chat,47,1,2,0
85,1524,665,video_call,38,3,6,0
86,1940,75,video_call,9,1,2,0
87,1370,157,video_call,48,3,6,0
88,1497,251,chat,10,3,6,0
89,1340,655,chat,23,3,6,0
90,1447,519,chat,35,2,4,0
91,1013,536,video_call,32,2,4,0
92,1120,597,chat,13,4,8,1
93,1148,331,video_call,29,2,4,0
94,1601,449,video_call,56,3,6,0
95,344,524,chat,16,5,10,1
96,1565,22,chat,17,1,2,0
97,1154,211,chat,39,4,8,1
98,790,645,chat,30,3,6,0
99,1644,681,video_call,15,2,4,0
100,196,409,chat,53,5,10,1
101,1154,121,chat,39,2,4,0
102,1887,293,chat,5,1,2,0
103,54,255,video_call,46,1,2,0
104,942,775,chat,16,5,10,1
105,1306,467,chat,33,4,8,1
106,1191,400,video_call,27,4,8,1
107,786,677,video_call,50,3,6,0
108,218,233,chat,42,3,6,0
109,815,222,video_call,37,5,10,1
110,1171,259,chat,55,3,6,0
111,1067,665,video_call,23,2,4,0
112,1312,545,video_call,39,2,4,0
