interaction_id,mentee_id,mentor_id,interaction_type,session_duration_minutes,rating_given_by_user,helpfulness_score,match_success
1,1310,115,video_call,52,3,4,0
2,458,143,video_call,48,5,2,1
3,66,31,video_call,18,2,10,0
4,1233,28,video_call,50,5,8,1
5,1207,285,video_call,53,2,8,0
6,697,285,video_call,18,3,2,0
7,190,390,video_call,27,3,10,0
8,542,827,video_call,51,4,10,1
9,1889,388,video_call,40,3,10,0
10,1814,883,chat,41,2,2,0
11,94,678,video_call,54,3,2,0
12,1752,239,video_call,29,3,8,0
13,1302,855,chat,15,3,6,0
14,430,687,chat,49,1,10,0
15,1301,176,video_call,15,4,8,1
16,1896,656,video_call,48,3,2,0
17,470,842,video_call,56,3,8,0
18,549,68,video_call,41,3,4,0
19,1343,512,chat,46,4,4,1
20,506,763,chat,52,5,8,0
21,818,371,video_call,13,5,8,1
22,97,882,video_call,14,2,8,0
23,1222,66,chat,29,5,8,1
24,1989,567,video_call,48,1,10,0
25,1538,274,chat,12,3,8,0
26,324,465,video_call,51,3,10,0
27,1561,183,video_call,60,3,10,0
28,1248,204,video_call,28,2,10,0
29,1953,798,video_call,43,3,8,0
30,40,115,chat,58,3,4,0
31,119,247,video_call,10,4,2,0
32,1091,785,video_call,13,4,10,1
33,1081,894,chat,18,5,4,0
34,818,688,chat,33,5,8,1
35,461,66,chat,6,5,10,1
36,452,8,video_call,50,1,4,0
37,139,928,video_call,60,3,2,0
38,1053,244,chat,47,4,4,1
39,1482,958,chat,20,4,8,1
40,199,675,chat,27,4,8,1
41,1494,56,video_call,8,4,6,0
42,224,255,video_call,17,5,8,1
43,376,286,chat,20,1,8,0
44,1655,883,video_call,8,5,2,0
45,1898,772,video_call,15,4,8,1
46,1771,411,video_call,15,4,2,0
47,544,949,chat,23,4,10,1
48,997,159,video_call,23,2,2,0
49,1187,754,video_call,52,3,2,0
50,103,599,chat,37,5,4,1
51,1041,83,video_call,9,5,2,1
52,482,414,video_call,41,2,10,0
53,1218,41,video_call,31,5,10,1
54,1915,268,video_call,47,3,4,0
55,544,406,video_call,47,3,8,0
56,648,952,video_call,5,4,10,0
57,205,76,video_call,37,3,4,0
58,1912,358,video_call,20,3,6,0
59,324,449,chat,44,5,2,1
60,1136,307,video_call,13,3,2,0
61,1823,110,video_call,22,3,10,0
62,432,735,chat,18,3,10,0
63,1001,258,video_call,10,4,6,1
64,684,790,video_call,45,3,4,0
65,1519,453,chat,40,1,2,0
66,155,968,video_call,39,1,6,0
67,1193,566,video_call,32,2,2,0
68,632,374,video_call,27,2,4,0
69,1366,106,chat,54,5,8,0
70,1535,159,video_call,60,2,4,0
71,1806,423,video_call,16,3,8,0
72,1643,686,video_call,22,2,2,0
73,784,894,video_call,59,4,4,1
74,1881,472,chat,24,2,4,0
75,49,676,video_call,30,3,6,0
76,1771,72,chat,27,5,8,1
77,1728,550,chat,6,1,6,0
78,366,595,chat,7,1,10,0
79,890,354,chat,32,5,10,1
80,1843,591,video_call,21,1,8,0
81,4,533,video_call,28,4,2,0
82,1886,339,chat,47,1,6,0
83,1039,317,chat,25,4,6,1
84,393,431,chat,48,2,10,0
85,1166,309,chat,40,1,6,0
86,588,216,chat,55,5,10,1
87,953,453,chat,48,2,10,0
88,970,813,video_call,47,1,6,0
89,1056,680,chat,10,2,6,0
90,461,826,video_call,14,1,2,0
91,502,487,video_call,34,4,10,1
92,1427,394,chat,30,2,4,0
93,1344,705,video_call,53,1,8,0
94,449,181,chat,8,5,4,0
95,249,468,video_call,56,4,10,0
96,1220,325,chat,44,5,8,0
97,1123,457,video_call,52,4,8,1
98,507,861,chat,54,5,8,1
99,563,451,video_call,50,3,4,0
100,557,344,chat,39,1,4,0
101,309,237,chat,49,2,4,0
102,132,425,chat,26,5,8,1
103,424,853,chat,29,5,2,0
104,1568,590,chat,35,1,6,0
105,612,772,chat,59,4,10,0
106,1119,820,video_call,36,2,6,0
107,893,498,video_call,29,3,8,0
108,1484,170,chat,13,5,10,1
109,807,607,video_call,10,4,4,0
110,373,52,chat,29,3,4,0
111,932,335,chat,53,4,6,0
112,1704,432,chat,58,1,8,0
113,40,768,video_call,27,2,2,0
114,1600,981,video_call,53,1,4,0
115,409,860,video_call,44,2,4,0
116,259,485,video_call,41,2,8,0
117,1433,263,chat,15,5,10,0
118,1472,118,video_call,24,1,10,0
119,53,952,chat,41,4,8,0
120,407,78,video_call,11,3,10,0
121,1650,124,video_call,27,5,8,1
122,142,519,chat,5,4,8,1
123,1968,371,chat,50,2,8,0
124,361,752,chat,44,5,8,1
125,1692,749,chat,25,2,2,0
126,572,903,chat,20,4,10,1
127,777,345,video_call,36,3,4,0
128,999,218,chat,56,3,6,0
129,573,902,chat,40,1,10,0
130,1942,196,video_call,20,4,8,1
131,493,708,chat,46,4,8,0
132,191,302,video_call,30,2,6,0
133,1360,596,chat,35,5,10,1
134,1528,564,chat,27,4,6,1
135,473,124,video_call,25,1,10,0
136,1948,781,video_call,17,2,8,0
137,567,742,chat,11,2,6,0
138,466,370,video_call,24,1,10,0
139,260,281,video_call,8,5,6,1
140,259,654,chat,11,1,10,0
141,583,481,chat,33,3,4,0
142,1978,53,chat,60,4,2,0
143,821,504,video_call,41,1,4,0
144,306,831,chat,10,2,2,0
145,1143,783,chat,43,5,10,1
146,1071,390,chat,33,3,10,0
147,879,313,video_call,44,1,4,0
148,1282,217,chat,47,1,4,0
149,492,178,video_call,15,1,8,0
150,923,706,chat,23,1,4,0
151,591,724,chat,49,4,2,1
152,1893,271,video_call,32,1,10,0
153,461,664,video_call,22,2,2,0
154,123,170,chat,43,5,6,1
155,960,706,chat,49,4,6,1
156,1012,449,video_call,43,1,8,0
157,1505,331,chat,6,1,4,0
158,1970,691,video_call,53,3,10,0
159,83,782,video_call,35,5,8,0
160,372,600,chat,45,4,2,1
161,837,342,chat,47,1,4,0
162,676,422,chat,23,4,10,1
163,181,323,chat,25,1,8,0
164,1772,527,video_call,47,5,8,1
165,385,531,chat,44,4,8,0
166,417,274,video_call,23,4,8,1
167,1994,646,video_call,50,2,6,0
168,1129,15,chat,10,2,2,0
169,946,970,video_call,46,2,8,0
170,1911,734,chat,37,3,8,0
171,1710,495,chat,20,4,10,1
172,391,944,video_call,60,1,6,0
173,1583,809,chat,26,5,6,0
174,580,744,chat,58,5,10,0
175,1003,887,video_call,33,5,8,1
176,1131,782,chat,34,3,4,0
177,1429,245,chat,19,4,2,1
178,969,723,chat,29,2,8,0
179,1976,38,video_call,37,5,6,0
180,1791,866,chat,11,5,8,1
181,296,420,video_call,9,4,6,1
182,1419,408,video_call,59,3,10,0
183,779,978,chat,45,4,10,1
184,141,241,chat,19,1,8,0
185,202,779,video_call,33,2,6,0
186,1851,30,video_call,25,1,6,0
187,735,384,chat,14,2,10,0
188,844,580,video_call,15,2,2,0
189,1249,892,chat,44,2,8,0
190,1870,598,video_call,19,4,6,1
191,1366,10,chat,23,5,4,1
192,1936,354,chat,45,4,6,1
193,619,204,chat,59,4,2,1
194,1172,368,chat,49,3,2,0
195,1700,675,chat,22,1,10,0
196,1772,703,video_call,43,4,6,0
197,472,622,chat,19,2,10,0
198,514,695,video_call,45,1,2,0
199,633,808,chat,7,5,6,0
200,185,932,chat,25,4,4,1
201,1611,553,chat,38,5,6,0
202,527,936,chat,56,3,6,0
203,1648,118,chat,9,2,4,0
204,1762,693,chat,59,5,6,1
205,809,15,chat,39,1,8,0
206,755,689,chat,42,4,6,1
207,479,483,video_call,44,5,6,0
208,454,664,video_call,45,4,6,1
209,239,144,video_call,7,3,8,0
210,238,100,video_call,39,2,8,0
211,930,380,chat,42,2,8,0
212,1342,102,chat,44,4,6,1
213,759,223,chat,33,2,6,0
214,204,703,chat,39,3,2,0
215,816,283,video_call,12,4,2,1
216,1315,655,video_call,8,3,4,0
217,258,806,video_call,9,5,4,1
218,1666,891,video_call,26,2,10,0
219,6,284,video_call,13,5,6,0
220,226,677,video_call,13,1,6,0
221,1618,808,video_call,42,3,2,0
222,357,272,video_call,13,4,10,1
223,131,488,chat,54,3,10,0
224,1216,112,chat,37,2,10,0
225,89,745,chat,34,1,2,0
226,981,868,chat,32,1,8,0
227,1459,932,chat,9,1,6,0
228,1246,152,video_call,13,3,10,0
229,1297,600,chat,29,5,10,1
230,1036,620,chat,11,1,10,0
231,1477,887,video_call,32,4,4,1
232,1695,465,chat,31,1,6,0
233,875,321,chat,28,2,8,0
234,138,94,video_call,10,4,2,0
235,764,832,video_call,40,1,10,0
236,1960,576,chat,47,1,8,0
237,725,895,chat,60,1,6,0
238,1230,320,chat,11,5,10,1
239,1345,494,video_call,59,1,6,0
240,1732,570,chat,12,3,10,0
241,464,827,chat,59,5,10,1
242,1317,571,video_call,43,3,2,0
243,370,280,chat,26,3,2,0
244,372,891,video_call,41,4,2,1
245,1297,996,video_call,10,5,4,1
246,930,350,video_call,28,3,6,0
247,1591,965,video_call,8,2,4,0
248,1546,633,video_call,48,1,6,0
249,908,678,chat,36,5,8,1
250,442,774,video_call,27,4,2,1
251,1390,608,chat,38,3,2,0
252,452,405,video_call,5,2,6,0
253,1937,217,video_call,53,3,6,0
254,672,123,video_call,36,4,4,1
255,1091,721,video_call,37,5,6,1
256,1765,760,video_call,32,1,8,0
257,1887,80,chat,41,4,10,1
258,1312,428,chat,12,4,2,0
259,352,821,chat,58,3,2,0
260,895,865,video_call,20,4,10,1
261,162,406,chat,52,3,4,0
262,683,798,video_call,9,5,2,1
263,398,928,chat,27,2,4,0
264,211,150,chat,17,2,10,0
265,314,779,video_call,16,4,8,0
266,1557,594,chat,48,5,10,1
267,1989,643,chat,14,4,2,1
268,1294,311,chat,42,1,6,0
269,1040,76,chat,34,4,2,1
270,1704,294,video_call,46,1,10,0
271,1217,520,chat,34,5,10,0
272,1514,918,video_call,33,5,4,1
273,975,514,video_call,8,4,2,0
274,1715,352,video_call,37,2,2,0
275,508,725,chat,33,5,10,1
276,746,382,chat,29,4,6,1
277,108,809,chat,9,3,2,0
278,1143,695,chat,23,3,10,0
279,1789,154,chat,10,5,4,0
280,636,991,chat,13,5,2,1
281,772,659,chat,57,2,10,0
282,192,662,chat,37,3,2,0
283,743,317,video_call,18,3,8,0
284,394,232,video_call,14,1,6,0
285,1730,808,video_call,37,5,10,1
286,690,898,video_call,43,4,4,1
287,1703,710,video_call,51,4,2,1
288,1386,737,video_call,33,5,6,0
